ID;Filename;Utterance start time;Estimated Lexical Match
0006_VAZ;VF-002-20170316120450.wav;46;træmmer
0006_VAZ;VF-002-20170316120450.wav;51;taske
0006_VAZ;VF-002-20170316120450.wav;56;terin
0006_VAZ;VF-002-20170316120450.wav;59;trusser
0006_VAZ;VF-002-20170316133156.wav;2;billiard
0006_VAZ;VF-002-20170316133156.wav;4;børnehave
0006_VAZ;VF-002-20170316133156.wav;7;
0006_VAZ;VF-002-20170316133156.wav;11;bærepose
0006_VAZ;VF-002-20170316133156.wav;14;
0006_VAZ;VF-002-20170316133156.wav;17;børn
0006_VAZ;VF-002-20170316133156.wav;25;basker
0006_VAZ;VF-002-20170316133156.wav;28;bramming
0006_VAZ;VF-002-20170316133156.wav;29;blæst
0006_VAZ;VF-002-20170316133156.wav;32;bål
0006_VAZ;VF-002-20170316133156.wav;36;
0006_VAZ;VF-002-20170316133156.wav;42;båthorn
0006_VAZ;VF-002-20170316133156.wav;44;bål
0006_VAZ;VF-002-20170316133156.wav;48;bil
0006_VAZ;VF-002-20170316133156.wav;53;baskerlandet
0006_VAZ;VF-002-20170316133156.wav;57;belfast
0006_VAZ;VF-003-20170316103928.wav;1;mennesker
0006_VAZ;VF-003-20170316103928.wav;3;mor
0006_VAZ;VF-003-20170316103928.wav;6;maiken
0006_VAZ;VF-003-20170316103928.wav;7;morten
0006_VAZ;VF-003-20170316103928.wav;9;maiken
0006_VAZ;VF-003-20170316103928.wav;14;maj
0006_VAZ;VF-003-20170316103928.wav;15;mad
0006_VAZ;VF-003-20170316103928.wav;19;mel
0006_VAZ;VF-003-20170316103928.wav;;morsom
0006_VAZ;VF-003-20170316103928.wav;21;mystisk
0006_VAZ;VF-003-20170316103928.wav;23;metal
0006_VAZ;VF-003-20170316103928.wav;26;maksimal
0006_VAZ;VF-003-20170316103928.wav;31;minus
0006_VAZ;VF-003-20170316103928.wav;35;marker
0006_VAZ;VF-003-20170316103928.wav;39;maskine
0006_VAZ;VF-003-20170316103928.wav;46;mus
0006_VAZ;VF-003-20170316103928.wav;48;mis
0006_VAZ;VF-003-20170316103928.wav;51;maiken
0006_VAZ;VF-003-20170316103928.wav;52;majbrit
0006_VAZ;VF-003-20170316103928.wav;57;materiale
0006_VAZ;VF-003-20170316120603.wav;2;drikke
0006_VAZ;VF-003-20170316120603.wav;4;danse
0006_VAZ;VF-003-20170316120603.wav;7;dusk
0006_VAZ;VF-003-20170316120603.wav;10;dør
0006_VAZ;VF-003-20170316120603.wav;15;derfor
0006_VAZ;VF-003-20170316120603.wav;19;drømme
0006_VAZ;VF-003-20170316120603.wav;26;dumme
