ID,Filename,Utterance start time,Estimated Lexical Match,Certainty,Target Letter,Audio Quality Comment,Cluster Status,Cluster ID,curve_c,curve_m,Condition,avg_sim,avg_phon_sim
0006_VAZ,VF-001-20170316103702.wav,12,salt,3.0,s,high,1,2,28.267924332533887,0.0224888638593752,1,0.66325915,0.637037037037037
0006_VAZ,VF-001-20170316103702.wav,14,sommer,3.0,s,high,1,2,28.267924332533887,0.0224888638593752,1,0.66325915,0.637037037037037
0006_VAZ,VF-001-20170316103702.wav,17,sodavand,3.0,s,high,0,3,28.267924332533887,0.0224888638593752,1,0.7587636,0.6596296296296296
0006_VAZ,VF-001-20170316103702.wav,19,super,3.0,s,high,1,3,28.267924332533887,0.0224888638593752,1,0.7587636,0.6596296296296296
0006_VAZ,VF-001-20170316103702.wav,21,svend,2.0,s,high,1,3,28.267924332533887,0.0224888638593752,1,0.7587636,0.6596296296296296
0006_VAZ,VF-001-20170316103702.wav,29,sol,3.0,s,high,0,4,28.267924332533887,0.0224888638593752,1,0.82563597,0.5555555555555555
0006_VAZ,VF-001-20170316103702.wav,32,septembeer,3.0,s,high,1,4,28.267924332533887,0.0224888638593752,1,0.82563597,0.5555555555555555
0006_VAZ,VF-001-20170316103702.wav,37,sokkel,3.0,s,high,0,5,28.267924332533887,0.0224888638593752,1,0.84999335,0.7185185185185184
0006_VAZ,VF-001-20170316103702.wav,40,suser,3.0,s,high,1,5,28.267924332533887,0.0224888638593752,1,0.84999335,0.7185185185185184
0006_VAZ,VF-001-20170316103702.wav,41,susen,3.0,s,high,1,5,28.267924332533887,0.0224888638593752,1,0.84999335,0.7185185185185184
0006_VAZ,VF-001-20170316103702.wav,44,susan,3.0,s,high,1,5,28.267924332533887,0.0224888638593752,1,0.84999335,0.7185185185185184
0006_VAZ,VF-001-20170316103702.wav,49,si,3.0,s,high,0,6,28.267924332533887,0.0224888638593752,1,0.7963423,0.8111111111111112
0006_VAZ,VF-001-20170316103702.wav,53,saftevand,3.0,s,high,1,6,28.267924332533887,0.0224888638593752,1,0.7963423,0.8111111111111112
0006_VAZ,VF-001-20170316103702.wav,56,saft,3.0,s,high,1,6,28.267924332533887,0.0224888638593752,1,0.7963423,0.8111111111111112
0006_VAZ,VF-001-20170316120337.wav,2,kamera,3.0,k,high,0,1,56.56298107651016,0.0057643942625473,2,0.845409,0.5555555555555555
0006_VAZ,VF-001-20170316120337.wav,3,klasse,3.0,k,high,1,1,56.56298107651016,0.0057643942625473,2,0.845409,0.5555555555555555
0006_VAZ,VF-001-20170316120337.wav,15,kigge,3.0,k,high,0,2,56.56298107651016,0.0057643942625473,2,0.72940296,0.5925925925925926
0006_VAZ,VF-001-20170316120337.wav,16,klemme,3.0,k,high,1,2,56.56298107651016,0.0057643942625473,2,0.72940296,0.5925925925925926
0006_VAZ,VF-001-20170316120337.wav,18,konge,2.0,k,high,1,2,56.56298107651016,0.0057643942625473,2,0.72940296,0.5925925925925926
0006_VAZ,VF-001-20170316120337.wav,23,kong,2.0,k,high,0,3,56.56298107651016,0.0057643942625473,2,0.82278174,0.5555555555555555
0006_VAZ,VF-001-20170316120337.wav,26,klar,3.0,k,high,1,3,56.56298107651016,0.0057643942625473,2,0.82278174,0.5555555555555555
0006_VAZ,VF-001-20170316120337.wav,28,,,k,high,1,3,56.56298107651016,0.0057643942625473,2,0.82278174,0.5555555555555555
0006_VAZ,VF-001-20170316120337.wav,44,kræmmer,3.0,k,high,0,4,56.56298107651016,0.0057643942625473,2,0.6251526,0.574074074074074
0006_VAZ,VF-001-20170316120337.wav,47,kys,3.0,k,high,1,4,56.56298107651016,0.0057643942625473,2,0.6251526,0.574074074074074
0006_VAZ,VF-001-20170316120337.wav,48,kærlighed,3.0,k,high,1,4,56.56298107651016,0.0057643942625473,2,0.6251526,0.574074074074074
0006_VAZ,VF-001-20170316120337.wav,51,kildevand,3.0,k,high,1,4,56.56298107651016,0.0057643942625473,2,0.6251526,0.574074074074074
