ID,Filename,Utterance start time,Estimated Lexical Match,Certainty,Target Letter,Audio Quality Comment,Cluster Status,Cluster ID
0019_YRF,VF-002-20230327122455.wav,36,tryk,3.0,t,low,0,3
0019_YRF,VF-002-20230327122455.wav,38,trykfølsom,3.0,t,low,1,3
0019_YRF,VF-002-20230327122455.wav,40,trygfølsomskærm,2.0,t,low,1,3
0019_YRF,VF-002-20230327122455.wav,45,tempo,3.0,t,low,0,4
0019_YRF,VF-002-20230327122455.wav,46,test,3.0,t,low,1,4
0019_YRF,VF-002-20230327122455.wav,47,,,t,low,1,4
0019_YRF,VF-002-20230327122455.wav,48,,,t,low,1,4
0019_YRF,VF-002-20230327122455.wav,53,,,t,low,1,4
0019_YRF,VF-002-20230327111725.wav,2,poesi,3.0,p,low,0,1
0019_YRF,VF-002-20230327111725.wav,3,pas,3.0,p,low,1,1
0019_YRF,VF-002-20230327111725.wav,4,penis,2.0,p,low,1,1
0019_YRF,VF-002-20230327111725.wav,8,,,p,low,0,0
0019_YRF,VF-002-20230327111725.wav,10,,,p,low,0,2
0019_YRF,VF-002-20230327111725.wav,11,,,p,low,1,2
0019_YRF,VF-002-20230327111725.wav,12,prop,2.0,p,low,1,2
0019_YRF,VF-002-20230327111725.wav,14,propkultur,2.0,p,low,1,2
0019_YRF,VF-002-20230327111725.wav,16,probalistisk,3.0,p,low,1,2
0019_YRF,VF-002-20230327111725.wav,20,prop,3.0,p,low,0,3
0019_YRF,VF-002-20230327111725.wav,22,,,p,low,1,3
0019_YRF,VF-002-20230327111725.wav,23,,,p,low,1,3
0019_YRF,VF-002-20230327111725.wav,24,,,p,low,1,3
0019_YRF,VF-002-20230327111725.wav,29,papmache,3.0,p,low,0,4
0019_YRF,VF-002-20230327111725.wav,31,,,p,low,1,4
0019_YRF,VF-002-20230327111725.wav,34,pip,3.0,p,low,1,4
0019_YRF,VF-002-20230327111725.wav,35,pop,2.0,p,low,1,4
0019_YRF,VF-002-20230327111725.wav,50,politi,3.0,p,low,0,5
0019_YRF,VF-002-20230327111725.wav,56,palme,1.0,p,low,1,5
0019_YRF,VF-002-20230327111725.wav,59,,,p,low,1,5
0019_YRF,VF-002-20230327095837.wav,1,bi,2.0,b,low,0,1
0019_YRF,VF-002-20230327095837.wav,2,bi,2.0,b,low,1,1
0019_YRF,VF-002-20230327095837.wav,3,bil,3.0,b,low,1,1
0019_YRF,VF-002-20230327095837.wav,4,,,b,low,1,1
0019_YRF,VF-002-20230327095837.wav,6,,,b,low,0,0
0019_YRF,VF-002-20230327095837.wav,8,,,b,low,0,2
0019_YRF,VF-002-20230327095837.wav,9,bog,1.0,b,low,1,2
0019_YRF,VF-002-20230327095837.wav,11,bog,3.0,b,low,0,0
0019_YRF,VF-002-20230327095837.wav,14,bogmærke,3.0,b,low,0,0
0019_YRF,VF-002-20230327095837.wav,18,borgreol,3.0,b,low,0,0
0019_YRF,VF-002-20230327095837.wav,21,bildør,1.0,b,low,0,0
0019_YRF,VF-002-20230327095837.wav,24,blik,3.0,b,low,0,3
0019_YRF,VF-002-20230327095837.wav,25,blikfang,3.0,b,low,1,3
0019_YRF,VF-002-20230327095837.wav,28,blomme,3.0,b,low,1,3
0019_YRF,VF-002-20230327095837.wav,31,blad,3.0,b,low,1,3
0019_YRF,VF-002-20230327095837.wav,37,bål,2.0,b,low,0,4
0019_YRF,VF-002-20230327095837.wav,38,båltang,2.0,b,low,1,4
0019_YRF,VF-002-20230327095837.wav,43,birk,3.0,b,low,1,4
0019_YRF,VF-002-20230327095837.wav,55,,,b,low,0,5
0019_YRF,VF-002-20230327095837.wav,59,blikdåse,3.0,b,low,1,5
0019_YRF,VF-001-20230327122347.wav,1,kilo,1.0,k,low,0,1
0019_YRF,VF-001-20230327122347.wav,2,klods,2.0,k,low,1,1
0019_YRF,VF-001-20230327122347.wav,4,klodset,2.0,k,low,0,2
0019_YRF,VF-001-20230327122347.wav,5,klodshans,3.0,k,low,1,2
0019_YRF,VF-001-20230327122347.wav,10,kost,3.0,k,low,0,3
0019_YRF,VF-001-20230327122347.wav,11,kiste,3.0,k,low,1,3
0019_YRF,VF-001-20230327122347.wav,12,koben,3.0,k,low,1,3
0019_YRF,VF-001-20230327122347.wav,15,ko,3.0,k,low,0,4
0019_YRF,VF-001-20230327122347.wav,17,kommode,3.0,k,low,1,4
0019_YRF,VF-001-20230327122347.wav,20,kam,3.0,k,low,0,5
0019_YRF,VF-001-20230327122347.wav,22,,,k,low,1,5
0019_YRF,VF-001-20230327122347.wav,25,kamsteg,3.0,k,low,0,6
0019_YRF,VF-001-20230327122347.wav,27,kamphund,2.0,k,low,1,6
0019_YRF,VF-001-20230327122347.wav,32,kubik,3.0,k,low,0,0
0019_YRF,VF-001-20230327122347.wav,41,kæft,3.0,k,low,0,7
0019_YRF,VF-001-20230327122347.wav,44,kyst,3.0,k,low,1,7
0019_YRF,VF-001-20230327122347.wav,46,kystsikring,3.0,k,low,1,7
0019_YRF,VF-001-20230327122347.wav,48,kilogram,3.0,k,low,1,7
0019_YRF,VF-001-20230327122347.wav,53,klump,3.0,k,low,1,7
0019_YRF,VF-001-20230327122347.wav,54,klumpfisk,3.0,k,low,1,7
0019_YRF,VF-001-20230327122347.wav,58,kramme,1.0,k,low,1,7
0019_YRF,VF-001-20230327111617.wav,1,ski,3.0,s,low,0,1
0019_YRF,VF-001-20230327111617.wav,2,skiferie,3.0,s,low,1,1
0019_YRF,VF-001-20230327111617.wav,3,slalom,3.0,s,low,1,1
0019_YRF,VF-001-20230327111617.wav,4,slalomløb,3.0,s,low,1,1
0019_YRF,VF-001-20230327111617.wav,6,sommer,3.0,s,low,0,0
0019_YRF,VF-001-20230327111617.wav,8,,,s,low,0,0
0019_YRF,VF-001-20230327111617.wav,10,slå,2.0,s,low,0,2
0019_YRF,VF-001-20230327111617.wav,11,slag,2.0,s,low,1,2
0019_YRF,VF-001-20230327111617.wav,14,søvn,1.0,s,low,0,0
0019_YRF,VF-001-20230327111617.wav,16,sover,3.0,s,low,0,0
0019_YRF,VF-001-20230327111617.wav,18,syv,1.0,s,low,0,0
0019_YRF,VF-001-20230327111617.wav,20,sytten,3.0,s,low,0,3
0019_YRF,VF-001-20230327111617.wav,21,,,s,low,1,3
0019_YRF,VF-001-20230327111617.wav,24,stige,3.0,s,low,0,4
0019_YRF,VF-001-20230327111617.wav,25,slag,3.0,s,low,1,4
0019_YRF,VF-001-20230327111617.wav,29,,,s,low,0,0
0019_YRF,VF-001-20230327111617.wav,33,skab,3.0,s,low,0,5
0019_YRF,VF-001-20230327111617.wav,35,skub,3.0,s,low,1,5
